last_updated_epoch,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index
1693000243,200.3,70.1,0.8,5.5,20.0,21.6,2,2
1693000244,250.3,73.7,1.9,4.4,29.0,33.4,2,3
1693000245,240.3,65.8,1.4,2.9,21.8,25.3,2,2
1693000246,467.3,85.8,3.8,9.7,71.7,87.0,4,10
1693000247,203.6,65.1,0.8,5.3,21.2,23.7,2,2
1693000248,217.0,57.2,1.0,1.1,13.7,41.1,1,2
1693000249,460.6,48.6,21.9,78.2,29.6,36.3,2,3
1693000250,801.1,153.1,10.4,26.7,100.2,115.8,4,10
1693000251,201.9,44.7,1.8,0.8,3.7,6.2,1,1
1693000252,257.0,70.8,1.2,2.5,20.4,26.3,2,2
1693000253,280.4,70.8,9.5,32.0,32.9,37.4,2,3
1693000254,250.3,73.7,1.9,4.4,29.0,33.4,2,3
1693000255,250.3,73.7,1.9,4.4,29.0,33.4,2,3
1693000256,253.7,64.4,17.3,64.9,27.0,31.3,2,3
1693000257,303.8,100.1,3.5,14.5,40.4,47.2,3,4
1693000258,207.0,60.8,2.6,6.4,13.4,18.1,1,2
1693000259,257.0,70.8,1.2,2.5,20.4,26.3,2,2
1693000260,280.4,70.8,9.5,32.0,32.9,37.4,2,3
1693000261,467.3,140.2,2.1,6.2,54.8,61.3,3,7
1693000262,410.6,77.3,3.0,1.7,46.6,56.6,3,5
1693000263,347.1,66.5,0.3,0.7,32.2,37.2,2,3
1693000264,150.2,90.8,0.0,0.1,3.2,4.2,1,1
1693000265,527.4,135.9,2.5,10.4,123.5,138.9,4,10
1693000266,474.0,124.5,1.4,8.6,87.7,101.1,4,10
1693000267,387.2,75.1,0.6,0.9,26.5,28.5,2,3
1693000268,353.8,94.4,0.6,1.4,19.9,22.3,2,2
1693000269,170.2,76.5,0.1,0.1,6.5,8.2,1,1
1693000270,347.1,66.5,0.3,0.7,32.2,37.2,2,3
1693000271,205.3,61.5,0.2,0.3,8.4,12.0,1,1
1693000272,210.3,65.8,0.9,2.1,13.5,17.6,1,2
1693000273,220.3,28.3,4.0,1.7,6.8,11.9,1,1
1693000274,307.1,11.0,14.7,9.7,9.7,12.7,1,1
1693000275,158.6,31.1,0.7,0.4,3.5,7.2,1,1
1693000276,390.5,9.1,18.9,6.1,11.0,22.5,1,1
1693000277,166.9,33.6,1.0,0.8,2.5,4.2,1,1
1693000278,220.3,30.4,3.9,2.3,6.5,9.7,1,1
1693000279,208.6,24.7,2.7,0.5,3.1,5.0,1,1
1693000280,200.3,33.3,1.7,1.8,7.0,13.4,1,1
1693000281,240.3,20.0,7.2,6.3,6.2,9.0,1,1
1693000282,240.3,19.9,5.7,4.6,6.5,10.4,1,1
1693000283,310.4,17.4,8.3,5.7,12.6,19.9,1,2
1693000284,240.3,30.4,5.9,4.5,4.1,7.4,1,1
1693000285,277.0,25.8,6.5,6.3,7.7,12.6,1,1
1693000286,170.2,36.8,0.1,0.3,4.5,11.7,1,1
1693000287,370.5,93.0,1.7,6.8,50.2,55.1,3,6
1693000288,370.5,74.4,5.9,6.4,28.6,39.1,2,3
1693000289,330.5,84.4,15.8,39.1,35.9,47.4,2,3
1693000290,1161.6,134.5,26.4,42.0,182.7,229.6,5,10
1693000291,400.5,118.7,5.7,19.1,60.9,71.1,3,8
1693000292,427.3,91.6,0.8,1.0,22.4,23.4,2,2
1693000293,600.8,88.7,2.9,3.0,60.0,64.7,3,8
1693000294,627.5,85.8,14.9,43.9,141.0,159.9,4,10
1693000295,1161.6,134.5,26.4,42.0,182.7,229.6,5,10
1693000296,320.4,80.8,8.6,17.4,32.7,42.8,2,3
1693000297,343.8,77.3,8.3,21.7,72.7,88.8,4,10
1693000298,500.7,45.4,21.1,65.8,69.4,83.1,4,9
1693000299,587.5,89.4,4.2,1.9,47.7,52.4,3,5
1693000300,881.2,105.9,16.5,33.9,185.5,208.2,5,10
1693000301,567.4,123.0,3.2,2.1,39.1,44.5,2,4
1693000302,567.4,123.0,3.2,2.1,39.1,44.5,2,4
1693000303,660.9,114.4,3.8,7.4,96.0,132.6,4,10
1693000304,774.4,137.3,7.7,14.3,81.9,102.2,4,10
1693000305,634.2,128.8,2.2,4.8,86.4,112.0,4,10
1693000306,594.1,95.8,2.5,6.2,101.1,130.0,4,10
1693000307,560.8,88.0,6.6,3.0,70.3,135.9,4,9
1693000308,217.0,70.1,2.7,7.0,32.0,132.1,2,3
1693000309,707.6,137.3,5.3,16.5,79.8,98.8,4,10
1693000310,534.1,108.7,3.7,3.9,86.6,127.4,4,10
1693000311,948.0,151.6,11.8,42.9,187.3,211.6,5,10
